Epoch 00082 | ModelID: 00|Loss: 0.0524| Time: 1.0604s
Epoch 00082 | ModelID: 01|Loss: 0.0509| Time: 1.0417s
Epoch 00083 | ModelID: 00|Loss: 0.0520| Time: 1.0380s
Epoch 00083 | ModelID: 01|Loss: 0.0518| Time: 1.0491s
Epoch 00084 | ModelID: 00|Loss: 0.0510| Time: 1.0809s
Epoch 00084 | ModelID: 01|Loss: 0.0488| Time: 1.1448s
Epoch 00085 | ModelID: 00|Loss: 0.0564| Time: 1.1522s
Epoch 00085 | ModelID: 01|Loss: 0.0480| Time: 1.2699s
Epoch 00086 | ModelID: 00|Loss: 0.0505| Time: 1.1418s
Epoch 00086 | ModelID: 01|Loss: 0.0484| Time: 1.1455s
Epoch 00087 | ModelID: 00|Loss: 0.0471| Time: 1.1600s
Epoch 00087 | ModelID: 01|Loss: 0.0445| Time: 1.0781s
Epoch 00088 | ModelID: 00|Loss: 0.0474| Time: 1.1347s
Epoch 00088 | ModelID: 01|Loss: 0.0433| Time: 1.1011s
Epoch 00089 | ModelID: 00|Loss: 0.0450| Time: 1.0946s
Epoch 00089 | ModelID: 01|Loss: 0.0411| Time: 1.1436s
Epoch 00090 | ModelID: 00|Loss: 0.0453| Time: 1.1391s
f1 score on testset:[0.96278158 0.95624325]
Epoch 00090 | ModelID: 01|Loss: 0.0404| Time: 1.0943s
f1 score on testset:[0.96278158 0.96346509]
Epoch 00091 | ModelID: 00|Loss: 0.0451| Time: 1.1350s
Epoch 00091 | ModelID: 01|Loss: 0.0415| Time: 1.1304s
Epoch 00092 | ModelID: 00|Loss: 0.0440| Time: 1.1337s
Epoch 00092 | ModelID: 01|Loss: 0.0456| Time: 1.1427s
Epoch 00093 | ModelID: 00|Loss: 0.0457| Time: 1.1315s
Epoch 00093 | ModelID: 01|Loss: 0.0529| Time: 1.1881s
Epoch 00094 | ModelID: 00|Loss: 0.0457| Time: 1.1419s
Epoch 00094 | ModelID: 01|Loss: 0.0542| Time: 1.1189s
Epoch 00095 | ModelID: 00|Loss: 0.0436| Time: 1.0802s
Epoch 00095 | ModelID: 01|Loss: 0.0516| Time: 1.0999s
Epoch 00096 | ModelID: 00|Loss: 0.0500| Time: 1.1361s
Epoch 00096 | ModelID: 01|Loss: 0.0471| Time: 1.1612s
Epoch 00097 | ModelID: 00|Loss: 0.0630| Time: 1.1136s
Epoch 00097 | ModelID: 01|Loss: 0.0502| Time: 1.1026s
Epoch 00098 | ModelID: 00|Loss: 0.0627| Time: 1.0430s
Epoch 00098 | ModelID: 01|Loss: 0.0542| Time: 1.1226s
Epoch 00099 | ModelID: 00|Loss: 0.0536| Time: 1.1301s
Epoch 00099 | ModelID: 01|Loss: 0.0499| Time: 1.0734s
Epoch 00100 | ModelID: 00|Loss: 0.0499| Time: 1.0396s
f1 score on testset:[0.96325545 0.96346509]
Epoch 00100 | ModelID: 01|Loss: 0.0461| Time: 1.1306s
f1 score on testset:[0.96325545 0.96416777]
Epoch 00101 | ModelID: 00|Loss: 0.0439| Time: 1.1164s
Epoch 00101 | ModelID: 01|Loss: 0.0418| Time: 1.1175s
Epoch 00102 | ModelID: 00|Loss: 0.0428| Time: 1.0981s
Epoch 00102 | ModelID: 01|Loss: 0.0380| Time: 1.0619s
Epoch 00103 | ModelID: 00|Loss: 0.0393| Time: 1.1755s
Epoch 00103 | ModelID: 01|Loss: 0.0365| Time: 1.1648s
Epoch 00104 | ModelID: 00|Loss: 0.0391| Time: 1.1847s
Epoch 00104 | ModelID: 01|Loss: 0.0358| Time: 1.0692s
Epoch 00105 | ModelID: 00|Loss: 0.0361| Time: 1.1407s
Epoch 00105 | ModelID: 01|Loss: 0.0334| Time: 1.1163s
Epoch 00106 | ModelID: 00|Loss: 0.0355| Time: 1.1338s
Epoch 00106 | ModelID: 01|Loss: 0.0315| Time: 1.2307s
Epoch 00107 | ModelID: 00|Loss: 0.0330| Time: 1.0995s
Epoch 00107 | ModelID: 01|Loss: 0.0312| Time: 1.1013s
Epoch 00108 | ModelID: 00|Loss: 0.0319| Time: 1.0655s
Epoch 00108 | ModelID: 01|Loss: 0.0324| Time: 1.0240s
Epoch 00109 | ModelID: 00|Loss: 0.0320| Time: 1.0991s
Epoch 00109 | ModelID: 01|Loss: 0.0330| Time: 1.0653s
Epoch 00110 | ModelID: 00|Loss: 0.0329| Time: 1.0781s
f1 score on testset:[0.96974509 0.96416777]
Epoch 00110 | ModelID: 01|Loss: 0.0347| Time: 1.0736s
f1 score on testset:[0.96974509 0.96698446]
Epoch 00111 | ModelID: 00|Loss: 0.0338| Time: 1.1195s
Epoch 00111 | ModelID: 01|Loss: 0.0337| Time: 1.1134s
Epoch 00112 | ModelID: 00|Loss: 0.0329| Time: 1.0965s
Epoch 00112 | ModelID: 01|Loss: 0.0333| Time: 1.1863s
Epoch 00113 | ModelID: 00|Loss: 0.0308| Time: 1.1572s
Epoch 00113 | ModelID: 01|Loss: 0.0341| Time: 1.1242s
Epoch 00114 | ModelID: 00|Loss: 0.0290| Time: 1.1605s
Epoch 00114 | ModelID: 01|Loss: 0.0438| Time: 1.1484s
Epoch 00115 | ModelID: 00|Loss: 0.0279| Time: 1.1247s
Epoch 00115 | ModelID: 01|Loss: 0.0479| Time: 1.1899s
Epoch 00116 | ModelID: 00|Loss: 0.0286| Time: 1.0808s
